Controller Name:,"CPU0555396624"	Trend Name:,"_Fossalta_Temperature"	Trend Tags:,"8"	Sample Period:,"4" ms	Description:,""	Start Trigger:,Time Trigger,06/10/2017,08:41:54;287		Stop Trigger:,No Trigger		Start Time:,06/10/2017,08:41:54;287	Stop Time:,06/10/2017,08:42:09;283	Pre-Samples:,"0"	Post-Samples:,"0"
Tim	Posizione	Velocità	Corrente
0	4,429525	779,993713	38,694279
4	7,548542	779,754150	40,065517
8	10,666892	779,587463	39,495213
12	13,786008	779,779114	39,859940
16	16,908607	780,649963	39,752659
20	20,028049	779,860352	41,401127
24	23,146675	779,656189	42,816231
28	26,265766	779,772888	39,869137
32	29,391199	781,358276	37,785282
36	32,514965	780,941650	36,950459
40	35,637783	780,704102	35,830559
44	38,755733	779,487488	37,987911
48	41,868492	778,189575	40,331196
52	44,981426	778,233276	44,256580
56	48,098640	779,304138	44,181816
60	51,221485	780,710388	40,998081
64	54,348343	781,714539	38,225128
68	57,476532	782,047852	36,267723
72	60,598907	780,593689	37,062393
76	63,715443	779,133301	39,740147
80	66,827995	778,137451	39,507996
84	69,940605	778,154114	42,847900
88	73,059982	779,843689	41,447750
92	76,181206	780,306213	40,896503
96	79,305710	781,124939	40,103951
100	82,427437	780,431213	39,523434
104	85,551140	780,927063	40,724586
108	88,669716	779,643738	38,586121
112	91,792686	780,741638	36,867558
116	94,914925	780,560364	37,433372
120	98,033310	779,595825	38,118778
124	101,148849	778,885376	41,038815
128	104,264008	778,789551	41,637333
132	107,378510	778,624939	44,314365
136	110,500504	780,497864	43,233353
140	113,628532	782,008301	38,840218
144	116,755219	781,670776	37,796459
148	119,877373	780,539551	37,451633
152	122,996758	779,845825	38,142483
156	126,116486	779,931213	38,747482
160	129,228760	778,068726	42,901482
164	132,338882	777,531189	44,198833
168	135,457077	779,549988	42,799625
172	138,583389	781,574951	39,429920
176	141,707077	780,924988	38,789791
180	144,833420	781,583313	37,799759
184	147,957413	780,997864	37,644012
188	151,076294	779,720825	38,905766
192	154,189682	778,345825	39,697258
196	157,309601	779,983276	38,744839
200	160,424393	778,697876	41,601990
204	163,545990	780,395813	40,774960
208	166,668365	780,593689	40,052040
212	169,783920	778,889526	41,972656
216	172,900101	779,045776	42,553143
220	176,024048	780,985352	39,116634
224	179,150452	781,602051	37,303822
228	182,272324	780,468689	37,551483
232	185,389297	779,243713	39,472015
236	188,506744	779,362488	42,285324
240	191,617126	777,595825	44,535698
244	194,734192	779,264526	42,963047
