Controller Name:,"CPU0555396624"	Trend Name:,"_Fossalta_Temperature"	Trend Tags:,"8"	Sample Period:,"4" ms	Description:,""	Start Trigger:,Time Trigger,06/10/2017,08:45:10;141		Stop Trigger:,No Trigger		Start Time:,06/10/2017,08:45:10;141	Stop Time:,06/10/2017,08:45:25;137	Pre-Samples:,"0"	Post-Samples:,"0"
Tim	Posizione	Velocità	Corrente
0	207,695557	1499,810303	49,508457
4	213,703445	1501,972900	48,005688
8	219,710190	1501,687378	45,376106
12	225,706024	1498,956177	47,339352
16	231,695404	1497,345703	50,185490
20	237,702835	1501,858276	47,378166
24	243,707932	1501,274902	45,650913
28	249,697891	1497,489502	48,354210
32	255,689285	1497,847900	52,169197
36	261,691681	1500,595703	48,748512
40	267,697937	1501,568726	49,612385
44	273,703735	1501,445801	47,637302
48	279,704956	1500,304077	47,757172
52	285,704468	1499,883301	47,160378
56	291,690399	1496,481201	51,731236
60	297,694946	1501,133301	49,638885
64	303,698914	1500,997803	48,245403
68	309,704590	1501,414551	45,844772
72	315,693451	1497,214478	51,113945
76	321,692749	1499,824951	51,012833
80	327,702484	1502,437378	45,365543
84	333,704468	1500,495728	46,631336
88	339,704590	1500,026978	49,197395
92	345,697906	1498,327026	49,760895
96	351,692902	1498,754150	48,106819
100	357,693451	1500,135376	49,595718
104	3,703033	1502,395752	46,414860
108	9,702909	1499,968628	46,763107
112	15,691225	1497,079102	52,161991
116	21,691309	1500,020752	50,089592
120	27,699217	1501,977051	46,446655
124	33,709484	1502,566650	44,539513
128	39,701424	1497,985352	49,592686
132	45,696842	1498,854126	50,134647
136	51,695610	1499,691650	48,633106
140	57,696526	1500,229126	49,072189
144	63,700706	1501,045776	48,607079
148	69,704956	1501,062378	46,448921
152	75,700348	1498,847900	47,931068
156	81,694778	1498,606201	50,001480
160	87,702797	1502,006226	47,487465
164	93,710281	1501,870728	45,629959
168	99,707458	1499,293701	47,918407
172	105,696365	1497,227051	50,679104
176	111,697105	1500,185303	49,256096
180	117,700378	1500,816650	46,850880
184	123,704681	1501,077026	47,229492
188	129,709244	1501,141602	47,118401
192	135,705658	1499,102051	47,157619
196	141,695786	1497,533203	49,790985
200	147,700989	1501,299927	49,498756
204	153,712296	1502,827026	44,589260
208	159,710571	1499,566650	45,321320
212	165,695114	1496,137451	49,777626
216	171,699081	1500,989502	45,325680
220	177,708771	1502,424927	45,382339
224	183,710373	1500,399902	46,270409
228	189,706635	1499,064453	48,269676
232	195,701721	1498,770752	48,027206
236	201,704361	1500,662476	46,062172
240	207,698212	1498,462402	48,411186
244	213,703415	1501,297852	48,078888
248	219,697037	1498,406128	49,263115
252	225,684570	1496,885376	52,017963
256	231,688614	1501,010376	50,685555
260	237,697586	1502,241577	48,467491
264	243,708069	1502,622803	45,447220
268	249,702469	1498,597900	49,297089
272	255,691635	1497,293701	51,181625
276	261,693420	1500,447876	47,735004
280	267,692383	1499,739502	48,570862
284	273,697815	1501,352051	48,583801
288	279,697357	1499,889526	49,603806
292	285,697052	1499,922852	47,831268
296	291,698517	1500,364502	48,004387
300	297,711121	1503,156128	45,461269
304	303,721680	1502,633301	42,080242
308	309,710754	1497,270752	49,068733
312	315,697906	1496,791626	51,433121
316	321,691803	1498,474976	49,255569
320	327,699280	1501,866577	46,799988
324	333,700439	1500,291626	47,707932
328	339,707397	1501,735352	47,708591
332	345,704681	1499,320801	46,990211
336	351,702087	1499,354126	46,627937
340	357,704834	1500,687378	48,608200
344	3,711367	1501,631226	44,149918
348	9,706558	1498,797852	45,813000
352	15,693209	1496,662476	50,663387
356	21,699108	1501,474976	47,865288
360	27,709709	1502,649902	45,092499
364	33,709450	1499,935303	48,280956
368	39,710808	1500,339478	47,566116
372	45,706848	1499,010376	48,755150
376	51,707607	1500,189453	46,057316
380	57,705116	1499,376953	47,117535
384	63,709274	1501,039551	46,425690
388	69,711792	1500,629150	45,852871
392	75,703468	1497,918701	49,711929
396	81,701042	1499,393677	49,358704
400	87,712708	1502,916626	45,160122
404	93,719124	1501,604126	43,178661
408	99,709999	1497,718628	47,227695
412	105,702011	1498,001953	49,744431
416	111,699638	1499,408203	46,742905
420	117,701752	1500,526978	48,856022
424	123,707962	1501,552002	47,419724
428	129,707779	1499,954102	47,021286
432	135,706039	1499,564453	47,578850
436	141,702011	1498,993652	48,003632
440	147,710526	1502,129150	45,973244
444	153,720795	1502,566650	43,830170
448	159,702911	1495,529053	50,786198
452	165,690002	1496,774902	51,878487
456	171,696320	1501,579102	46,668720
460	177,707214	1502,720703	45,199509
464	183,711472	1501,066650	45,861610
468	189,709976	1499,626953	47,498631
472	195,706955	1499,241577	47,154236
476	201,698471	1497,881226	50,503414
480	207,698578	1500,026978	50,098454
484	213,708603	1502,506226	45,378761
488	219,706696	1499,520752	43,884441
492	225,698730	1498,008301	49,369370
496	231,704422	1501,422852	47,523106
500	237,711426	1501,751953	45,358555
504	243,711853	1500,106201	46,263580
508	249,706833	1498,745728	49,211056
512	255,700989	1498,539551	48,314014
516	261,698456	1499,362427	46,845860
520	267,692413	1498,495728	51,366020
524	273,707855	1503,854126	45,434204
528	279,716431	1502,149902	44,367573
532	285,705017	1497,141602	49,423294
536	291,702820	1499,449951	48,895229
540	297,704926	1500,526978	45,947269
544	303,715363	1502,614502	43,156738
548	309,704956	1497,391602	49,775089
552	315,698059	1498,281128	49,850578
556	321,698486	1500,102051	47,258469
560	327,702789	1501,077026	46,119938
564	333,708405	1501,406128	46,965706
568	339,714630	1501,558228	45,951576
572	345,709503	1498,712402	46,297802
576	351,699371	1497,472900	50,292130
580	357,702118	1500,683228	46,851563
584	3,710475	1502,089478	45,109631
588	9,705158	1498,670776	48,850952
592	15,696083	1497,731201	50,088058
596	21,696650	1500,141602	47,523193
600	27,703775	1501,781128	45,935890
604	33,703182	1499,852051	47,708397
608	39,709892	1501,677002	47,637432
612	45,710068	1500,043701	45,893791
616	51,696301	1496,558228	51,073605
620	57,696190	1499,972900	50,250542
624	63,709015	1503,206177	44,941509
628	69,712509	1500,872803	45,147991
632	75,699791	1496,820801	50,181759
636	81,698463	1499,668701	48,084103
640	87,709320	1502,712402	45,314342
644	93,712982	1500,916626	45,404617
648	99,707642	1498,664551	49,063992
652	105,697250	1497,401978	49,323280
656	111,693352	1499,024902	48,417618
660	117,692085	1499,683228	49,998547
664	123,698250	1501,541626	47,601265
668	129,704102	1501,462402	45,916267
672	135,695816	1497,929077	50,718273
676	141,695480	1499,914551	49,948139
680	147,703735	1502,064453	46,517597
684	153,712204	1502,118652	44,163837
688	159,706497	1498,570801	48,298046
692	165,696732	1497,558228	50,308769
696	171,699509	1500,695801	47,423161
700	177,700806	1500,322876	46,840244
704	183,713013	1503,054077	46,676907
708	189,709122	1499,026978	47,813988
712	195,700623	1497,872803	47,402699
716	201,695831	1498,804077	48,483181
720	207,710815	1503,743652	45,870583
724	213,718002	1501,797852	43,581932
728	219,707062	1497,264526	48,629044
732	225,697784	1497,683228	50,101559
736	231,699493	1500,427002	47,745113
740	237,701248	1500,435303	47,013283
744	243,699722	1499,620728	49,295506
748	249,702332	1500,649902	47,390499
752	255,698639	1499,077026	48,722698
756	261,698303	1499,916626	49,356621
760	267,701538	1500,810303	48,762207
764	273,712921	1502,847900	45,228527
768	279,712646	1499,924927	45,754028
772	285,695343	1495,679077	50,145401
776	291,691650	1499,072876	50,225639
780	297,696442	1501,197876	46,989979
784	303,702454	1501,501953	49,000942
788	309,698395	1498,987427	51,145451
792	315,696259	1499,466553	48,819496
796	321,695465	1499,804077	46,497257
800	327,693848	1499,593628	50,182705
804	333,704956	1502,774902	47,046539
808	339,707184	1500,556152	46,634235
812	345,696381	1497,299927	51,286949
816	351,689972	1498,399902	51,132965
820	357,694580	1501,149902	46,515553
824	3,698500	1500,981201	46,397541
828	9,696750	1499,562378	51,399124
832	15,691250	1498,624878	51,511597
836	21,689350	1499,524902	48,993740
840	27,690676	1500,331177	49,280132
844	33,700840	1502,541626	47,564201
848	39,703110	1500,566650	46,803452
852	45,696526	1498,354126	49,590012
856	51,689751	1498,306152	50,367558
860	57,694660	1501,227051	50,067478
864	63,707043	1503,095703	44,679501
868	69,699600	1498,139526	48,986198
872	75,693535	1498,483276	51,144165
876	81,696259	1500,681152	48,534275
880	87,702805	1501,637451	46,051262
884	93,702255	1499,862427	48,593296
888	99,702621	1500,091553	47,392162
892	105,699127	1499,124878	48,904419
896	111,695259	1499,033203	50,933247
900	117,696045	1500,195801	50,253075
904	123,706970	1502,731201	46,521454
908	129,704971	1499,501953	47,278957
912	135,690689	1496,427002	52,138996
916	141,690598	1499,977051	50,735863
920	147,700272	1502,418701	47,173534
924	153,705460	1501,297852	45,187519
928	159,709534	1501,018677	47,721581
932	165,703156	1498,406128	48,822247
936	171,715714	1503,139526	43,286209
940	177,709763	1498,510376	47,192532
944	183,712677	1500,729126	46,357300
948	189,712189	1499,876953	45,621346
952	195,705566	1498,345703	48,122707
956	201,699539	1498,491577	49,954945
960	207,707901	1502,091553	46,236691
964	213,714645	1501,685303	44,203587
968	219,710144	1498,876953	46,819702
972	225,704178	1498,506226	46,990871
976	231,706909	1500,683228	46,676243
980	237,699371	1498,116577	49,201355
984	243,702545	1500,793701	48,764744
988	249,703079	1500,133301	48,888195
992	255,700256	1499,291626	47,303856
996	261,690338	1497,522827	51,842777
1000	267,699371	1502,256226	47,607716
1004	273,716644	1504,318726	43,380035
1008	279,712616	1498,993652	47,414051
1012	285,703735	1497,776978	49,657719
1016	291,702454	1499,681152	47,025246
1020	297,706207	1500,941650	45,977440
1024	303,704193	1499,491577	48,297958
1028	309,706818	1500,660400	47,798744
1032	315,704926	1499,524902	46,902161
1036	321,696320	1497,849976	49,706188
1040	327,700684	1501,087402	48,914345
1044	333,708832	1502,039551	50,906693
1048	339,708832	1499,997803	45,975571
1052	345,700378	1497,885376	49,258770
1056	351,695496	1498,783203	51,173710
1060	357,697815	1500,579102	47,935520
1064	3,699817	1500,499878	48,277405
1068	9,703900	1501,020752	49,066090
1072	15,701458	1499,389526	48,822926
1076	21,700283	1499,706177	47,057098
1080	27,696234	1498,987427	49,884182
1084	33,702965	1501,683228	47,316483
1088	39,706318	1500,837402	47,147083
1092	45,697224	1497,727051	50,208199
1096	51,691017	1498,447876	51,890640
1100	57,696590	1501,393677	47,308754
1104	63,707458	1502,716553	44,542538
1108	69,708611	1500,287476	47,300262
1112	75,704590	1498,995728	47,643845
1116	81,704636	1500,010376	47,416786
1120	87,701897	1499,316650	49,129997
1124	93,702911	1500,251953	48,762684
1128	99,706726	1500,954102	46,304806
1132	105,700798	1498,518677	47,771542
1136	111,692909	1498,026978	49,258427
1140	117,697548	1501,160400	47,658566
1144	123,708160	1502,651978	45,128189
1148	129,706177	1499,504150	49,061733
1152	135,701035	1498,716553	50,109978
1156	141,702255	1500,304077	48,537861
1160	147,713852	1502,899902	43,910690
1164	153,703369	1497,376953	50,286060
1168	159,696518	1498,289551	50,744907
1172	165,697235	1500,177002	47,772038
1176	171,696228	1499,747803	49,990078
1180	177,705872	1502,410400	47,425438
1184	183,717697	1502,956177	44,732006
1188	189,716965	1499,818726	44,690594
1192	195,701859	1496,222900	49,585899
1196	201,702240	1500,093628	49,925064
1200	207,704803	1500,641602	46,899612
1204	213,703934	1499,783203	47,767937
1208	219,701218	1499,322876	50,408070
1212	225,702194	1500,241577	47,311378
1216	231,707108	1501,229126	45,773281
1220	237,708832	1500,429077	46,927704
1224	243,713928	1501,274902	46,472294
1228	249,716324	1500,597900	44,855896
1232	255,699936	1495,904053	51,495628
1236	261,697205	1499,316650	50,258160
1240	267,702545	1501,337402	46,522694
1244	273,710602	1502,012451	44,876011
1248	279,705688	1498,768677	47,704906
1252	285,701843	1499,041626	49,383949
1256	291,703339	1500,370728	46,406254
1260	297,705383	1500,516602	46,255032
1264	303,710541	1501,285400	46,982594
1268	309,716064	1501,379150	45,236237
1272	315,706421	1497,595703	47,541821
1276	321,693207	1496,695801	51,250458
1280	327,695221	1500,499878	49,782524
1284	333,703979	1502,193726	47,145275
1288	339,703278	1499,818726	48,271637
1292	345,702606	1499,833252	49,215458
1296	351,704071	1500,370728	46,087109
1300	357,708588	1501,126953	45,501850
1304	3,707875	1499,820801	47,703621
1308	9,710767	1500,722900	46,657661
1312	15,707725	1499,239502	46,986858
1316	21,697117	1497,347900	49,918888
1320	27,699183	1500,516602	49,065674
1324	33,707577	1502,097900	46,525543
1328	39,708633	1500,264526	46,755981
1332	45,694817	1496,545776	51,544785
1336	51,698151	1500,833252	46,991238
1340	57,705757	1501,901978	43,738869
1344	63,704407	1499,662476	47,985317
1348	69,702065	1499,414551	49,813183
1352	75,704407	1500,585327	48,321121
1356	81,701805	1499,349976	46,760254
1360	87,704880	1500,768677	47,409256
1364	93,705765	1500,220703	47,322269
1368	99,709549	1500,945801	46,649418
1372	105,693451	1495,974976	50,490891
1376	111,689972	1499,131226	52,056534
1380	117,694992	1501,254150	47,091328
1384	123,702019	1501,756226	47,320496
1388	129,701767	1499,937378	48,634453
1392	135,698273	1499,124878	49,787186
1396	141,701050	1500,695801	45,777431
1400	147,692795	1497,937378	48,763092
1404	153,699188	1501,595703	49,364330
1408	159,700790	1500,399902	48,102444
1412	165,693619	1498,208252	48,670013
1416	171,684448	1497,706177	52,616684
1420	177,690994	1501,637451	50,450390
1424	183,704224	1503,306152	45,127922
1428	189,705872	1500,412476	47,698086
1432	195,702850	1499,245728	49,218845
1436	201,705231	1500,593628	47,818966
1440	207,705078	1499,964478	46,241566
1444	213,701614	1499,133301	49,475044
1448	219,699860	1499,562378	47,986450
1452	225,703964	1501,022827	46,674328
1456	231,697693	1498,433228	49,697750
1460	237,698624	1500,231201	49,513859
1464	243,710907	1503,070801	45,521008
1468	249,715149	1501,060303	44,890659
1472	255,701721	1496,643677	49,364594
1476	261,702911	1500,299927	47,617378
1480	267,705383	1500,618652	45,664875
1484	273,706268	1500,220703	46,469727
1488	279,706238	1499,989502	49,071095
1492	285,703430	1499,302002	46,811409
1496	291,704102	1500,168701	46,487804
1500	297,700623	1499,124878	49,474121
1504	303,709747	1502,285400	46,508808
1508	309,711121	1500,337402	46,401508
1512	315,701843	1497,681152	49,913528
1516	321,697052	1498,808228	50,111866
1520	327,703186	1501,531128	46,811199
1524	333,715393	1503,052002	43,364655
1528	339,708374	1498,241577	47,779579
1532	345,703674	1498,824951	47,880356
1536	351,702728	1499,766602	47,703274
1540	357,698364	1498,904053	47,833031
1544	3,707258	1502,227051	47,729843
1548	9,711100	1500,960327	45,808472
1552	15,703375	1498,068726	48,055271
1556	21,691059	1496,920776	51,435196
1560	27,698225	1501,791626	47,396744
1564	33,710716	1503,122803	45,347656
1568	39,709625	1499,727051	47,409016
1572	45,699474	1497,462402	51,458431
1576	51,702499	1500,756226	47,382370
1580	57,714310	1502,952026	43,879757
1584	63,714718	1500,102051	46,921253
1588	69,716774	1500,514526	46,592434
1592	75,713791	1499,254150	45,955513
1596	81,702492	1497,174927	46,820595
1600	87,707771	1501,320801	48,925961
1604	93,716202	1502,106201	46,313435
1608	99,718651	1500,612427	43,648701
1612	105,702248	1495,899902	49,953785
1616	111,700905	1499,664551	47,694763
1620	117,710297	1502,347900	45,172066
1624	123,713066	1500,691650	46,048389
1628	129,718430	1501,339478	46,400318
1632	135,713058	1498,658203	46,598156
1636	141,707230	1498,541626	46,524109
1640	147,703613	1499,095703	47,592770
1644	153,708588	1501,245728	46,071617
1648	159,714172	1501,395752	45,416946
1652	165,700714	1496,633301	49,626083
1656	171,702957	1500,560303	49,074585
