Controller Name:,"CPU0555396624"	Trend Name:,"_Fossalta_Temperature"	Trend Tags:,"8"	Sample Period:,"4" ms	Description:,""	Start Trigger:,Time Trigger,06/10/2017,08:44:22;572		Stop Trigger:,No Trigger		Start Time:,06/10/2017,08:44:22;572	Stop Time:,06/10/2017,08:44:37;568	Pre-Samples:,"0"	Post-Samples:,"0"
Tim	Posizione	Velocità	Corrente
0	69,826668	1317,366577	47,416832
4	75,098473	1317,952026	49,257153
8	80,380394	1320,479126	47,647240
12	85,661758	1320,341553	47,728718
16	90,939903	1319,535400	48,610088
20	96,219757	1319,964478	48,720387
24	101,502274	1320,629150	47,549137
28	106,786682	1321,102051	46,463886
32	112,066650	1319,991577	47,240150
36	117,352989	1321,585327	45,620052
40	122,635979	1320,745728	46,716125
44	127,909676	1318,424927	46,941463
48	133,182541	1318,214478	46,803658
52	138,462570	1320,008301	48,423698
56	143,751495	1322,233276	44,479904
60	149,037079	1321,395752	44,774578
64	154,315445	1319,589478	45,879864
68	159,592422	1319,243652	47,990311
72	164,869919	1319,377075	46,954506
76	170,150940	1320,252075	47,314808
80	175,425232	1318,572876	47,904457
84	180,711807	1321,643677	46,124859
88	185,995529	1320,931152	45,646099
92	191,273056	1319,381226	46,769001
96	196,540222	1316,791626	48,708183
100	201,824295	1321,020752	48,100471
104	207,116440	1323,035400	44,408165
108	212,394241	1319,449951	47,351349
112	217,668381	1318,535400	45,731697
116	222,944397	1319,002075	49,367615
120	228,228714	1321,081177	46,379780
124	233,510880	1320,539551	46,746262
128	238,787857	1319,245728	44,676205
132	244,070282	1320,606201	47,606903
136	249,342682	1318,099976	48,402706
140	254,623093	1320,102051	48,150185
144	259,897858	1318,693726	47,265160
148	265,185425	1321,889526	48,162823
152	270,473297	1321,968628	45,152706
156	275,755371	1320,520752	46,520554
160	281,024567	1317,295776	46,919250
164	286,302032	1319,364502	49,531288
168	291,587006	1321,241577	47,101620
172	296,868378	1320,345825	47,616192
176	302,149628	1320,314575	46,043083
180	307,434845	1321,304077	46,882633
184	312,717957	1320,776978	44,955872
188	317,994507	1319,133301	47,446697
192	323,267395	1318,222900	45,319130
196	328,553772	1321,595825	47,047138
200	333,839996	1321,556152	44,974384
204	339,113037	1318,258301	46,330208
208	344,380951	1316,979126	47,658440
212	349,665710	1321,189575	48,276897
216	354,953888	1322,045776	46,333920
220	0,239825	1321,485352	43,474236
224	5,514300	1318,618652	44,962769
228	10,787383	1318,270752	48,133907
232	16,068825	1320,360352	46,296387
236	21,348091	1319,816650	46,401497
240	26,625376	1319,320801	44,879375
244	31,909208	1320,958252	47,663029
248	37,192074	1320,716553	46,422405
252	42,470409	1319,583252	45,465847
256	47,744934	1318,631226	47,018333
260	53,032524	1321,897827	45,639435
264	58,321449	1322,231201	45,298141
268	63,605907	1321,114502	42,452869
272	68,879097	1318,297852	45,428997
276	74,151619	1318,129150	47,784328
280	79,427109	1318,872803	48,952225
284	84,709770	1320,664551	45,113243
288	89,990990	1320,306152	45,885094
292	95,271606	1320,154053	46,898018
296	100,550522	1319,729126	48,326900
300	105,824661	1318,533325	46,524773
304	111,100990	1319,083252	50,264030
308	116,390961	1322,491577	44,773926
312	121,676826	1321,466553	48,342842
316	126,953751	1319,231201	43,553383
320	132,219940	1316,545776	49,572510
324	137,502686	1320,687378	48,160080
328	142,788254	1321,391602	50,996029
332	148,076920	1322,166626	42,583160
336	153,352585	1318,916626	46,240143
340	158,632248	1319,916626	45,883018
344	163,910553	1319,577026	48,246101
348	169,190765	1320,049927	45,350414
352	174,467987	1319,306152	47,607338
