Controller Name:,"CPU0555396624"	Trend Name:,"_Fossalta_Temperature"	Trend Tags:,"8"	Sample Period:,"4" ms	Description:,""	Start Trigger:,Time Trigger,06/10/2017,08:40:08;347		Stop Trigger:,No Trigger		Start Time:,06/10/2017,08:40:08;347	Stop Time:,06/10/2017,08:40:23;343	Pre-Samples:,"0"	Post-Samples:,"0"
Tim	Posizione	Velocità	Corrente
0	76,126053	418,824982	28,841669
4	77,805367	419,829132	33,627129
8	79,480232	418,716644	32,186222
12	81,159607	419,843719	32,903481
16	82,837273	419,416656	32,597355
20	84,520264	420,747894	31,767902
24	86,205635	421,341644	31,767902
28	87,891106	421,368744	29,225870
32	89,573433	420,581238	28,553354
36	91,252533	419,774994	28,456413
40	92,933289	420,189575	28,456413
44	94,608727	418,858307	30,089951
48	94,608727	418,858307	30,089951
52	97,960014	418,685394	31,309244
56	99,642212	420,547882	33,227940
60	101,318947	419,185394	31,525183
64	103,003731	421,195801	35,392433
68	104,680260	419,131226	32,989361
72	106,366440	421,545807	32,989361
76	108,043190	419,187469	30,645916
80	108,043190	419,187469	30,645916
84	111,404617	419,599976	31,373659
88	113,090302	421,420807	31,373659
92	114,771957	420,414551	35,419048
96	116,455643	420,920807	27,033800
100	118,134636	419,747894	29,356878
104	119,814705	420,018738	29,582041
108	121,490211	418,874969	29,836157
112	123,171265	420,264557	30,322987
116	124,846703	418,858307	31,739437
120	126,525322	419,656219	31,739437
124	128,201309	418,995819	31,589777
128	129,883743	420,608307	30,884796
132	131,562180	419,610382	31,050337
136	133,244751	420,641632	27,057108
140	134,928741	420,997894	27,057108
144	136,612961	421,054138	28,961718
148	138,291565	419,649994	29,276079
152	139,969223	419,414551	30,478153
156	141,649780	420,139557	29,666159
160	143,323486	418,427063	34,641567
164	145,004684	420,302063	31,883917
168	146,682205	419,379150	31,883917
172	148,368347	421,533325	28,375366
176	150,048569	420,058319	30,249504
180	151,735504	421,731232	30,249504
184	153,412872	419,343719	29,177538
188	155,094437	420,391632	27,032974
192	156,770157	418,929138	27,032974
196	158,452240	420,520813	28,762146
200	160,129333	419,272888	28,762146
204	161,804688	418,839569	31,412203
208	163,481949	419,314575	30,737072
212	165,163971	420,504150	32,113903
216	166,842789	419,706238	32,026138
220	168,521500	419,677063	31,358856
224	170,201263	419,941650	32,135536
228	171,885483	421,054138	30,205124
232	173,567245	420,441650	29,521465
236	175,249176	420,483307	29,521465
240	175,249176	420,483307	27,682062
244	178,610580	419,779144	29,951981
248	180,291016	420,106232	29,545958
252	181,967163	419,039551	31,637421
256	183,648529	420,339569	30,483509
260	185,324982	419,112488	33,448330
264	187,003876	419,724976	32,917606
268	188,677719	418,460388	32,833858
272	190,358582	420,214569	30,706257
276	192,037521	419,737488	31,573578
280	193,723526	421,502075	31,573578
284	195,400635	419,277069	31,484741
288	197,084335	420,922882	31,484741
292	198,766144	420,454132	29,570621
296	200,448441	420,570801	29,552185
300	202,122681	418,562469	32,183056
304	203,803146	420,114563	31,098557
308	205,478973	418,958313	31,897011
312	207,162094	420,779144	30,113596
316	208,841888	419,949982	32,526997
320	210,521912	420,004150	31,649092
324	212,198639	419,181244	31,565765
328	213,880783	420,537476	31,486992
332	215,559967	419,795807	31,936090
336	217,240372	420,102051	29,937908
340	218,922104	420,431244	29,937908
344	220,603012	420,227051	30,859753
348	222,286774	420,941650	29,789692
352	223,961273	418,622894	32,201031
356	225,639252	419,495819	35,011028
360	227,314240	418,747894	35,011028
364	228,995361	420,281219	34,036484
368	230,671143	418,945801	33,176960
372	232,358078	421,733307	30,441994
376	234,037582	419,874969	32,169468
380	234,037582	419,874969	32,169468
384	237,402008	419,624969	28,785053
388	239,086273	421,066650	30,538595
392	240,765274	419,749969	32,380054
396	242,446030	420,189575	29,351187
400	244,121826	418,947906	31,692028
404	245,801804	419,995819	30,939844
408	247,476639	418,706238	30,939844
412	249,156006	419,843719	32,767220
416	250,830521	418,629150	32,883308
420	252,512375	420,462494	33,022022
424	254,192627	420,064575	33,022022
428	255,878525	421,472900	31,681383
432	257,561554	420,754150	31,681383
436	259,237457	418,981232	31,304771
440	260,921295	420,960388	31,304771
444	262,602386	420,266632	31,069065
448	264,285095	420,677063	31,069065
452	265,965149	420,018738	30,716110
456	267,646576	420,354156	28,330076
460	269,321442	418,714569	31,798958
464	271,003021	420,399994	30,589613
468	272,673981	417,739563	32,687183
472	274,357452	420,862488	31,206837
476	276,034821	419,343719	32,003098
480	277,720581	421,439575	32,003098
484	279,399017	419,610382	33,897511
488	281,085602	421,643738	33,897511
492	282,762421	419,208313	32,627232
496	284,445923	420,874969	30,169254
500	286,121674	418,933319	31,883760
504	287,803528	420,464569	31,883760
508	289,476837	418,331238	33,141800
512	291,158051	420,299988	31,978535
516	292,835083	419,258301	31,504757
520	294,520416	421,333313	29,069275
524	296,200958	420,139557	31,623810
528	297,884094	420,783325	31,000563
532	299,565186	420,274994	31,641855
536	301,250061	421,218719	30,180401
540	302,931702	420,408325	30,180401
544	304,612213	420,124969	30,002836
548	306,291077	419,716644	30,098660
552	307,964752	418,422882	31,173880
556	309,639709	418,737488	31,191624
560	311,312103	418,095825	34,035770
564	312,997620	421,381226	31,634485
568	314,674988	419,343719	33,124340
572	316,361328	421,579132	30,175900
576	318,037628	419,079132	31,940973
580	319,720703	420,764557	31,940973
584	321,401123	420,104156	32,778255
588	323,084625	420,879150	32,778255
592	324,765350	420,179138	33,007137
596	326,452393	421,762482	29,993641
600	328,127899	418,879150	29,993641
604	329,805084	419,293732	31,064659
608	331,479431	418,583313	33,144562
612	333,160248	420,206238	30,113491
616	334,837799	419,387482	32,525738
620	336,519745	420,485382	30,912268
624	338,200989	420,312469	31,060436
628	339,885498	421,127075	31,191620
632	341,565033	419,883301	31,875286
636	343,245758	420,185394	31,546658
640	344,925690	419,981232	31,546658
644	346,604279	419,645813	31,833702
648	348,287659	420,845825	31,833702
652	349,965912	419,562469	30,785221
656	351,648193	420,574982	29,399216
660	353,321564	418,335388	31,350512
664	355,002960	420,349976	30,857124
668	356,681091	419,537476	31,495255
672	356,681091	419,537476	31,495255
676	0,045917	420,168732	30,047977
680	0,045917	420,168732	30,047977
684	3,408450	419,229156	29,360470
688	5,089800	420,337494	31,829449
692	6,768617	419,704132	32,040112
696	8,450525	420,477051	32,040112
700	10,124641	418,529144	30,111937
704	11,804892	420,062469	30,472767
708	13,481367	419,118744	30,472767
712	15,163892	420,631226	30,210451
716	16,841183	419,322906	29,574703
720	18,521442	420,064575	29,574703
724	20,199675	419,558319	32,525913
728	21,881659	420,495819	31,692686
732	23,563633	420,493744	32,285587
736	25,245916	420,570801	30,591866
740	26,930325	421,102051	30,591866
744	28,609858	419,883301	31,380405
748	30,292717	420,714569	29,396227
752	31,965651	418,233307	29,396227
756	33,644218	419,641632	30,256042
760	33,644218	419,641632	30,178446
764	37,000690	420,310394	31,373793
768	38,676693	418,999969	31,373793
772	40,357468	420,193726	32,045177
776	42,036743	419,818726	32,468586
780	43,722893	421,537476	32,468586
784	45,403000	420,027069	32,303192
788	47,088650	421,412476	30,274937
792	48,766998	419,587494	30,274937
796	50,446407	419,852051	30,840115
800	52,122917	419,127075	31,697855
804	53,805092	420,543732	30,337738
808	55,479908	418,704132	30,231413
812	57,160801	420,222900	30,998474
816	58,839699	419,724976	30,363823
820	60,523758	421,014557	29,835018
824	62,204433	420,168732	30,159304
828	63,884323	419,972900	31,294342
832	65,564705	420,095825	31,597170
836	67,243607	419,724976	31,661818
840	68,922302	419,672882	31,661818
844	70,598892	419,147888	32,087345
848	72,280342	420,362488	32,164406
852	73,958107	419,441650	31,839920
856	75,639397	420,322906	30,674786
860	77,313225	418,456238	33,290657
864	78,997803	421,143738	31,373531
868	80,675613	419,454132	32,688145
872	82,357956	420,585388	30,405920
876	84,036674	419,679138	31,407192
880	85,725021	422,087494	31,407192
884	87,407036	420,502075	29,529995
888	89,091759	421,181244	29,529995
892	90,771973	420,054138	31,452251
896	92,450127	419,537476	30,955387
900	94,124962	418,708313	31,405354
904	95,804451	419,872894	30,556116
908	97,478867	418,604156	30,231562
912	99,155533	419,166656	30,231562
916	100,832016	419,120819	32,225273
920	102,517075	421,264557	31,971708
924	104,200897	420,956238	30,722275
928	105,883324	420,606232	31,733948
932	107,565186	420,464569	31,642538
936	109,244614	419,858307	31,660387
940	110,925743	420,281219	31,660387
944	112,604568	419,706238	31,413019
948	114,290047	421,370819	31,661880
952	115,967728	419,418732	30,387016
956	117,650070	420,585388	28,627718
960	119,327705	419,410400	28,627718
964	121,006516	419,702057	29,307001
968	122,679543	418,256226	30,857927
972	124,358849	419,827057	27,342848
976	126,037224	419,593719	32,257500
980	127,720634	420,852051	32,257500
984	127,720634	420,852051	31,537024
988	131,083832	420,699982	31,890341
992	132,765320	420,374969	30,317841
996	134,446594	420,316650	32,334522
1000	136,122177	418,895813	31,410234
1004	137,804047	420,466644	31,126833
1008	139,478195	418,539551	31,126833
1012	141,158081	419,970825	31,207529
1016	142,843170	421,270813	28,067333
1020	144,521957	419,695801	30,618752
1024	146,203094	420,287476	31,567596
1028	147,890503	421,852051	30,984926
1032	149,570831	420,079132	29,930882
1036	151,251785	420,241638	30,655006
1040	152,933487	420,422882	30,655006
1044	154,611176	419,422882	31,144625
1048	156,292831	420,414551	29,870951
1052	157,965195	418,089569	30,988247
1056	159,645615	420,106232	30,447727
1060	161,319244	418,406219	32,246338
1064	163,003128	420,972900	30,595881
1068	164,681747	419,652069	31,018007
1072	166,365082	420,833313	30,692953
1076	168,041916	419,208313	31,369247
1080	169,726120	421,054138	31,369247
1084	171,405746	419,904144	32,125275
