Controller Name:,"CPU0555396624"	Trend Name:,"_Fossalta_Temperature"	Trend Tags:,"8"	Sample Period:,"4" ms	Description:,""	Start Trigger:,Time Trigger,06/10/2017,08:48:30;945		Stop Trigger:,No Trigger		Start Time:,06/10/2017,08:48:30;945	Stop Time:,06/10/2017,08:48:45;941	Pre-Samples:,"0"	Post-Samples:,"0"
Tim	Posizione	Velocità	Corrente
0	284,988098	2218,931152	48,090904
4	293,863861	2218,937500	49,533253
8	302,746918	2220,762451	45,297890
12	311,622437	2218,881104	51,282356
16	320,499756	2219,326904	49,366383
20	329,378662	2219,727051	48,227573
24	338,268494	2222,464600	48,554028
28	347,145813	2219,326904	47,033104
32	356,030762	2221,233154	49,291321
36	4,921358	2222,652100	41,170563
40	13,794233	2218,218750	49,549194
44	22,664583	2217,587402	49,816082
48	31,541374	2219,197754	50,417755
52	40,421532	2220,039551	48,485878
56	49,295216	2218,420654	49,833149
60	58,178791	2220,893555	47,465401
64	75,952560	2219,229004	47,600098
68	75,952560	2219,229004	47,600098
72	84,834549	2220,497803	45,872795
76	93,715508	2220,239502	46,642200
80	102,594002	2219,622803	47,995106
84	111,463913	2217,479004	49,891567
88	120,337181	2218,316650	50,173996
92	129,221939	2221,187500	48,951828
96	138,099472	2219,383301	47,967468
100	146,985107	2221,410400	50,163521
104	155,888519	2225,854004	42,457859
108	164,755417	2216,722900	48,754570
112	173,625885	2217,616455	51,650005
116	182,505264	2219,843750	48,304501
120	191,396561	2222,824951	45,615978
124	200,269043	2218,120850	47,512417
128	209,141571	2218,131104	52,963657
132	218,027161	2221,397705	46,107903
136	226,906036	2219,718750	50,529636
140	235,790405	2221,093750	45,405754
144	244,675049	2221,158203	47,854362
148	253,558517	2220,870850	45,287785
152	262,425690	2216,787354	52,305309
156	271,307373	2220,422852	47,127911
160	280,192383	2221,256104	46,621117
164	297,952057	2221,985352	45,690006
168	297,952057	2221,985352	45,690006
172	306,826782	2218,678955	46,763870
176	315,711609	2221,206055	48,150467
180	324,582672	2217,768555	50,404709
184	333,470398	2221,927002	47,429840
188	342,351563	2220,293701	46,590015
192	351,224304	2218,187500	48,350830
196	0,103983	2219,918701	49,390007
200	8,982034	2219,512451	46,996590
204	17,865168	2220,783203	51,841217
208	26,744234	2219,766602	47,268311
212	35,628967	2221,183350	49,142578
216	44,514984	2221,504150	42,982044
220	53,379791	2216,201904	52,673393
224	62,266335	2221,635254	47,720673
228	71,142632	2219,074951	48,917587
232	80,017380	2218,687500	51,312077
236	88,900528	2220,785400	48,417736
240	97,783539	2220,754150	50,112289
244	106,665024	2220,370850	46,005070
248	115,531013	2216,497803	52,072067
252	124,419975	2222,239502	47,927399
256	133,297470	2219,372803	49,195568
260	142,172729	2218,814453	51,622707
264	159,958618	2224,458252	45,801399
268	159,958618	2224,458252	45,801399
272	168,821457	2215,706055	51,088478
276	177,681686	2215,060303	53,738068
280	186,576401	2223,677002	50,075634
284	195,460602	2221,049805	49,257206
288	204,340439	2219,958252	49,539669
292	213,218338	2219,477051	48,248020
296	222,092560	2218,553955	51,615524
300	230,973907	2220,337402	50,346626
304	239,854263	2220,089600	48,651302
308	248,743576	2222,326904	50,739174
312	257,613800	2217,553955	50,431103
316	266,488312	2218,626953	53,750687
320	275,384338	2224,012451	44,507019
324	284,258240	2218,470703	51,806797
328	293,144836	2221,647705	47,047787
332	302,022858	2219,510254	49,195461
336	310,904510	2220,408203	49,984390
340	319,783722	2219,806152	47,440456
344	328,663147	2219,854004	49,846264
348	337,545380	2220,558350	46,127529
352	346,416321	2217,737305	51,295334
356	355,298004	2220,422852	48,950176
360	4,177958	2219,985352	49,393307
364	13,062667	2221,177002	48,056160
368	21,939066	2219,099854	49,956169
372	30,819458	2220,097900	48,405788
376	39,704109	2221,162354	48,088490
380	48,573425	2217,329102	48,969009
384	57,454174	2220,187500	51,112389
388	66,332855	2219,670654	53,372002
392	75,216942	2221,020752	49,942734
396	84,097694	2220,187500	48,801849
400	92,976952	2219,814453	50,448822
404	101,865944	2222,247803	48,483093
408	110,739067	2218,281250	49,002464
412	119,621170	2220,524902	51,625187
416	128,502518	2220,337402	48,506130
420	137,381699	2219,793701	51,198967
424	146,270737	2222,262451	41,809628
428	155,145264	2218,631104	51,052601
432	164,017303	2218,010254	50,081299
436	172,883926	2216,654053	49,974262
440	181,784668	2225,187500	47,034309
444	190,672424	2221,937500	46,519367
448	199,546906	2218,618652	50,076984
452	208,428802	2220,477051	46,191311
456	217,303406	2218,647705	50,012295
460	226,184006	2220,149902	48,116600
464	235,052979	2217,243652	53,581341
468	243,939148	2221,543701	48,670948
472	252,825851	2221,674805	49,288876
476	261,706635	2220,193604	47,571270
480	270,601166	2223,633301	44,674675
484	279,478333	2219,293701	44,790546
488	288,350708	2218,095703	49,626385
492	297,226593	2218,966553	47,690323
496	306,109955	2220,843750	47,261219
500	314,990112	2220,035400	45,799885
504	323,863007	2218,227051	49,427486
508	332,748779	2221,443604	47,322479
512	341,626526	2219,435303	47,796795
516	350,507141	2220,152100	51,539028
520	359,390381	2220,808350	46,022842
524	8,271142	2220,193604	48,484074
528	17,153591	2220,612305	43,119881
532	26,024208	2217,654053	50,628101
536	34,910542	2221,583252	46,230667
540	43,790031	2219,872803	48,183758
544	52,664757	2218,681152	50,280865
548	61,549992	2221,308350	44,653519
552	70,431694	2220,424805	47,614662
556	79,311897	2220,052002	44,691292
560	88,186951	2218,762451	47,920990
564	97,072876	2221,481201	46,359272
568	105,952003	2219,781250	49,296780
572	114,824623	2218,156250	48,869587
576	123,703674	2219,762451	50,161140
580	132,578629	2218,737305	49,511955
584	141,457047	2219,604004	50,023991
588	150,339462	2220,606201	47,619816
592	159,232498	2223,256104	46,747242
596	168,119019	2221,633301	46,907120
600	176,982300	2215,818604	52,487476
604	185,859695	2219,349854	48,071793
608	194,741272	2220,391602	49,992603
612	203,623672	2220,602051	48,524014
616	212,494598	2217,731201	48,301373
620	221,383743	2222,287354	49,977715
624	230,258728	2218,743652	48,548420
628	239,140594	2220,468750	50,790501
632	248,035172	2223,643555	42,613743
636	256,904510	2217,337402	51,539848
640	265,785156	2220,158203	47,021084
644	274,666656	2220,370850	49,939693
648	283,558319	2222,920654	46,423931
652	292,421204	2215,718750	50,713253
656	301,298950	2219,437500	49,388626
660	310,186127	2221,793701	46,924927
664	319,055206	2217,268555	51,577141
668	327,941986	2221,699951	48,606075
672	336,829987	2221,997803	46,220570
676	345,714203	2221,052002	45,833405
680	354,595947	2220,439453	44,934010
684	3,472258	2219,074951	47,007179
688	12,355125	2220,716553	46,799858
692	21,213234	2214,527100	50,163513
696	30,097967	2221,183350	49,761303
700	38,982765	2221,199951	47,715347
704	47,864426	2220,414551	49,424942
708	56,750690	2221,566650	43,479858
712	65,632973	2220,570801	48,788635
716	74,514488	2220,379150	47,140705
720	83,379082	2216,147705	49,525078
724	92,256760	2219,418701	53,028904
728	101,138649	2220,472900	48,332306
732	110,011101	2218,112305	53,849857
736	118,902245	2222,785400	44,982697
740	127,777725	2218,870850	53,749786
744	136,666687	2222,239502	46,722557
748	145,539444	2218,191650	49,616138
752	154,433319	2223,468750	45,955536
756	163,316711	2220,847900	46,500210
760	172,176346	2214,908203	52,083641
764	181,060898	2221,135254	46,446930
768	189,947845	2221,737305	47,091686
772	198,832169	2221,083252	47,402302
776	207,703522	2217,835205	50,073273
780	216,585876	2220,591553	48,792850
784	225,462250	2219,091553	49,183475
788	234,348007	2221,439453	48,674217
792	243,232849	2221,208252	48,045692
796	252,112030	2219,795654	45,615013
800	260,986786	2218,691650	50,775074
804	269,864197	2219,352051	48,937145
808	278,743103	2219,727051	49,306152
812	287,622253	2219,787354	47,252060
816	296,494263	2217,997803	51,654808
820	305,384705	2222,610352	47,049992
824	314,274841	2222,535400	45,411194
828	323,146698	2217,966553	49,853249
832	332,022888	2219,049805	49,215542
836	340,900543	2219,408203	51,427460
840	349,775543	2218,756104	45,807388
844	358,652588	2219,258301	52,649551
848	7,542975	2222,595703	46,987297
852	16,421301	2219,581055	50,396328
856	25,306425	2221,281250	47,219620
860	34,195251	2222,206055	46,041534
864	43,074348	2219,774902	46,716606
868	51,952293	2219,485352	46,653622
872	60,829735	2219,360352	47,432304
876	69,713280	2220,887451	42,066914
880	78,583794	2217,626953	49,975380
884	87,466911	2220,779053	48,199699
888	96,346046	2219,785400	47,989914
892	105,222633	2219,145752	48,553200
896	114,105141	2220,626953	47,381790
900	122,987503	2220,589600	47,813393
904	131,869110	2220,402100	50,769585
908	140,749344	2220,060303	47,654877
912	149,631821	2220,618652	46,189327
916	158,520187	2222,089600	42,328976
920	167,389465	2217,318604	50,571907
924	176,263000	2218,385254	49,039597
928	185,146652	2220,914551	45,423679
932	194,029327	2220,668701	48,329037
936	202,905914	2219,145752	47,635685
940	211,792664	2221,685303	47,878082
944	220,676361	2220,924805	43,964134
948	229,544998	2217,158203	50,149490
952	238,430771	2221,445801	45,421062
956	247,312836	2220,514404	47,936073
960	256,185547	2218,177002	48,697754
964	265,067017	2220,370850	49,075531
968	273,943115	2219,022705	49,134346
972	282,829559	2221,612305	46,875423
976	291,700500	2217,735352	47,978050
980	300,590729	2222,552002	47,524887
984	309,474091	2220,841553	48,895630
988	318,346283	2218,047852	49,776447
992	327,223175	2219,224854	46,664387
996	336,102203	2219,758301	48,768501
1000	344,982727	2220,129150	49,442818
1004	353,856354	2218,408203	48,006645
1008	2,742392	2221,508301	50,139492
1012	11,625858	2220,866455	48,783447
1016	20,509392	2220,883301	46,900394
1020	29,395124	2221,433350	42,846809
1024	38,266075	2217,737305	51,350582
1028	47,145508	2219,858154	48,595699
1032	56,016182	2217,668701	50,125336
1036	64,896835	2220,162354	52,242130
1040	73,783691	2221,714600	47,938202
1044	82,661278	2219,395752	50,596844
1048	91,556099	2223,706055	42,794399
1052	100,435440	2219,835205	46,645409
1056	109,311172	2218,933350	47,553143
1060	118,180962	2217,445801	50,274963
1064	127,063850	2220,722900	48,404617
1068	135,932739	2217,220703	52,098148
1072	144,804642	2217,977051	52,682941
1076	153,695526	2222,720703	48,751225
1080	162,573959	2219,610352	48,445583
1084	171,454453	2220,122803	51,798447
1088	180,339401	2221,237305	48,519524
1092	189,229309	2222,474854	47,287399
1096	198,103745	2218,608154	49,264801
1100	206,971832	2217,020752	52,015060
1104	215,853439	2220,402100	50,735504
1108	224,736313	2220,718750	48,462372
1112	233,617874	2220,391602	50,888298
1116	242,506302	2222,108154	45,193398
1120	251,385132	2219,706055	49,856647
1124	260,256012	2217,716553	47,319229
1128	269,129883	2218,468750	52,440445
1132	278,023804	2223,479004	45,904549
1136	286,890137	2216,583252	51,713310
1140	295,776031	2221,479004	48,824600
1144	304,663818	2221,945801	47,793343
1148	313,542694	2219,716553	50,687271
1152	322,416046	2218,339600	48,192444
1156	331,288605	2218,139404	52,328110
1160	340,178375	2222,439453	49,353935
1164	349,054321	2218,987305	52,062191
1168	357,940735	2221,606201	49,286140
1172	6,832300	2222,889404	44,485596
1176	15,711900	2219,899902	46,876587
1180	24,585150	2218,312500	48,747818
1184	33,454510	2217,339600	49,578728
1188	42,339600	2221,272705	50,119747
1192	51,214626	2218,756104	51,141296
1196	60,098709	2221,020752	49,046452
1200	68,996902	2224,547852	43,253918
1204	77,870186	2218,320801	49,681110
1208	86,753532	2220,837402	47,443180
1212	95,635101	2220,391602	44,617275
1216	104,516068	2220,241455	49,995296
1220	113,383240	2216,793701	49,740868
1224	122,256706	2218,366455	52,287079
1228	131,150696	2223,495850	44,057915
1232	140,019928	2217,310303	52,996464
1236	148,907272	2221,835205	46,228794
1240	157,800568	2223,324951	44,539711
1244	166,667221	2216,662354	45,602573
1248	175,533188	2216,491455	50,608723
